Date,Year,Month,Value
7/25/2012,2012,25-Jul,0.00
7/26/2012,2012,26-Jul,0.00
7/29/2012,2012,29-Jul,0.00
7/30/2012,2012,30-Jul,0.00
8/2/2012,2012,2-Aug,0.00
8/5/2012,2012,5-Aug,0.00
8/7/2012,2012,7-Aug,72
8/9/2012,2012,9-Aug,0.00
8/10/2012,2012,10-Aug,0.00
8/11/2012,2012,11-Aug,0.00
8/15/2012,2012,15-Aug,0.00
8/18/2012,2012,18-Aug,0.00
8/19/2012,2012,19-Aug,0.00
8/23/2012,2012,23-Aug,69
8/24/2012,2012,24-Aug,0.00
8/25/2012,2012,25-Aug,0.00
8/31/2012,2012,31-Aug,0.00
9/1/2012,2012,1-Sep,0.00
9/2/2012,2012,2-Sep,0.00
9/4/2012,2012,4-Sep,68
9/7/2012,2012,7-Sep,0.00
9/8/2012,2012,8-Sep,0.00
9/12/2012,2012,12-Sep,0.00
9/13/2012,2012,13-Sep,0.00
9/17/2012,2012,17-Sep,63
9/22/2012,2012,22-Sep,0.00
9/24/2012,2012,24-Sep,0.00
9/29/2012,2012,29-Sep,0.00
10/1/2012,2012,1-Oct,67
10/9/2012,2012,9-Oct,0.00
10/17/2012,2012,17-Oct,64
10/22/2012,2012,22-Oct,0.00
10/27/2012,2012,27-Oct,0.00
4/9/2011,2011,9-Apr,0.00
4/16/2011,2011,16-Apr,0.00
5/6/2011,2011,6-May,0.00
5/7/2011,2011,7-May,0.00
5/12/2011,2011,12-May,0.00
5/13/2011,2011,13-May,0.00
5/16/2011,2011,16-May,0.00
5/21/2011,2011,21-May,0.00
5/23/2011,2011,23-May,0.00
5/27/2011,2011,27-May,0.00
5/29/2011,2011,29-May,0.00
5/30/2011,2011,30-May,0.00
6/1/2011,2011,1-Jun,68
6/2/2011,2011,2-Jun,0.00
6/3/2011,2011,3-Jun,0.00
6/4/2011,2011,4-Jun,0.00
6/9/2011,2011,9-Jun,0.00
6/10/2011,2011,10-Jun,0.00
6/14/2011,2011,14-Jun,0.00
6/16/2011,2011,16-Jun,0.00
6/18/2011,2011,18-Jun,0.00
6/19/2011,2011,19-Jun,0.00
6/21/2011,2011,21-Jun,0.00
6/23/2011,2011,23-Jun,0.00
6/24/2011,2011,24-Jun,0.00
6/29/2011,2011,29-Jun,0.00
6/30/2011,2011,30-Jun,0.00
7/1/2011,2011,1-Jul,0.00
7/6/2011,2011,6-Jul,0.00
7/7/2011,2011,7-Jul,86
7/13/2011,2011,13-Jul,0.00
7/14/2011,2011,14-Jul,0.00
7/16/2011,2011,16-Jul,0.00
7/18/2011,2011,18-Jul,82
7/21/2011,2011,21-Jul,0.00
7/23/2011,2011,23-Jul,0.00
7/25/2011,2011,25-Jul,0.00
7/26/2011,2011,26-Jul,89
7/29/2011,2011,29-Jul,0.00
7/30/2011,2011,30-Jul,0.00
8/2/2011,2011,2-Aug,77
8/5/2011,2011,5-Aug,0.00
8/7/2011,2011,7-Aug,0.00
8/9/2011,2011,9-Aug,82
8/10/2011,2011,10-Aug,0.00
8/11/2011,2011,11-Aug,0.00
8/15/2011,2011,15-Aug,83
8/18/2011,2011,18-Aug,0.00
8/19/2011,2011,19-Aug,0.00
8/23/2011,2011,23-Aug,0.00
8/24/2011,2011,24-Aug,0.00
8/25/2011,2011,25-Aug,0.00
8/31/2011,2011,31-Aug,0.00
9/1/2011,2011,1-Sep,85
9/2/2011,2011,2-Sep,0.00
9/4/2011,2011,4-Sep,0.00
9/7/2011,2011,7-Sep,0.00
9/8/2011,2011,8-Sep,0.00
9/12/2011,2011,12-Sep,0.00
9/13/2011,2011,13-Sep,79
9/17/2011,2011,17-Sep,0.00
9/22/2011,2011,22-Sep,0.00
9/24/2011,2011,24-Sep,0.00
